bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,atr,equity,peak_equity,max_drawdown_pct,pnl_total
388,388,BTCUSDT,5m,93429.95,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,196.1907142857131,1000.0,1000.0,0.0,0.0
389,389,BTCUSDT,5m,93411.45,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,182.787857142856,1000.0,1000.0,0.0,0.0
390,390,BTCUSDT,5m,93304.66,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,178.58999999999858,1000.0,1000.0,0.0,0.0
391,391,BTCUSDT,5m,92952.99,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.5779730180187796,180.08785714285582,1000.0,1000.0,0.0,0.0
392,392,BTCUSDT,5m,93095.0,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,179.29142857142764,1000.0,1000.0,0.0,0.0
393,393,BTCUSDT,5m,93043.77,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,162.94428571428475,1000.0,1000.0,0.0,0.0
394,394,BTCUSDT,5m,92828.08,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,175.55214285714257,1000.0,1000.0,0.0,0.0
395,395,BTCUSDT,5m,92676.71,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,176.62928571428554,1000.0,1000.0,0.0,0.0
396,396,BTCUSDT,5m,92842.71,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,182.7478571428562,1000.0,1000.0,0.0,0.0
397,397,BTCUSDT,5m,93048.33,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,188.62857142856956,1000.0,1000.0,0.0,0.0
398,398,BTCUSDT,5m,93009.65,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,192.47714285714133,1000.0,1000.0,0.0,0.0
399,399,BTCUSDT,5m,92964.51,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,195.67642857142658,1000.0,1000.0,0.0,0.0
400,400,BTCUSDT,5m,93054.86,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,203.92214285714206,1000.0,1000.0,0.0,0.0
401,401,BTCUSDT,5m,93231.01,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,214.49999999999895,1000.0,1000.0,0.0,0.0
402,402,BTCUSDT,5m,93218.95,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,205.17214285714206,1000.0,1000.0,0.0,0.0
403,403,BTCUSDT,5m,93691.82,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.8608510785407096,232.92785714285648,1000.0,1000.0,0.0,0.0
404,404,BTCUSDT,5m,93283.24,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,260.1871428571415,1000.0,1000.0,0.0,0.0
405,405,BTCUSDT,5m,93344.82,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,248.86428571428405,1000.0,1000.0,0.0,0.0
406,406,BTCUSDT,5m,93384.29,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,247.1185714285696,1000.0,1000.0,0.0,0.0
407,407,BTCUSDT,5m,93453.73,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.8221161312979306,246.26428571428445,1000.0,1000.0,0.0,0.0
408,408,BTCUSDT,5m,93512.13,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,233.4428571428559,1000.0,1000.0,0.0,0.0
409,409,BTCUSDT,5m,93451.45,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,223.76499999999942,1000.0,1000.0,0.0,0.0
410,410,BTCUSDT,5m,93260.11,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,229.07500000000022,1000.0,1000.0,0.0,0.0
411,411,BTCUSDT,5m,93180.0,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,222.02214285714373,1000.0,1000.0,0.0,0.0
412,412,BTCUSDT,5m,93195.07,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,213.55142857142866,1000.0,1000.0,0.0,0.0
413,413,BTCUSDT,5m,93281.59,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,217.90714285714265,1000.0,1000.0,0.0,0.0
414,414,BTCUSDT,5m,93412.2,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,209.31857142857083,1000.0,1000.0,0.0,0.0
415,415,BTCUSDT,5m,93682.31,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,214.84428571428518,1000.0,1000.0,0.0,0.0
416,416,BTCUSDT,5m,93912.2,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,224.95000000000022,1000.0,1000.0,0.0,0.0
417,417,BTCUSDT,5m,93899.99,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.6195214942193178,214.50857142857214,1000.0,1000.0,0.0,0.0
418,418,BTCUSDT,5m,93800.01,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,1.0,184.05071428571577,1000.0,1000.0,0.0,0.0
419,419,BTCUSDT,5m,93711.06,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,184.05285714285856,1000.0,1000.0,0.0,0.0
420,420,BTCUSDT,5m,93980.09,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.6545498140469583,193.76071428571595,1000.0,1000.0,0.0,0.0
421,421,BTCUSDT,5m,93878.01,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.606746241934437,199.95571428571566,1000.0,1000.0,0.0,0.0
422,422,BTCUSDT,5m,93847.24,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.5269913454366865,205.16571428571584,1000.0,1000.0,0.0,0.0
423,423,BTCUSDT,5m,93826.75,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,1.0,209.712142857145,1000.0,1000.0,0.0,0.0
424,424,BTCUSDT,5m,93943.24,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.863102627957845,202.05857142857298,1000.0,1000.0,0.0,0.0
425,425,BTCUSDT,5m,93992.8,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,1.0,201.80142857143073,1000.0,1000.0,0.0,0.0
426,426,BTCUSDT,5m,94012.75,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.6479184546960085,211.0057142857165,1000.0,1000.0,0.0,0.0
427,427,BTCUSDT,5m,93800.44,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,212.56785714286005,1000.0,1000.0,0.0,0.0
428,428,BTCUSDT,5m,93657.14,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,215.07857142857392,1000.0,1000.0,0.0,0.0
429,429,BTCUSDT,5m,93682.92,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,200.08285714285947,1000.0,1000.0,0.0,0.0
430,430,BTCUSDT,5m,93616.57,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.6295603510663462,188.85071428571558,1000.0,1000.0,0.0,0.0
431,431,BTCUSDT,5m,93545.34,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,172.3092857142869,1000.0,1000.0,0.0,0.0
432,432,BTCUSDT,5m,93492.06,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,177.5714285714296,1000.0,1000.0,0.0,0.0
433,433,BTCUSDT,5m,93477.55,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,1.0,168.9871428571444,1000.0,1000.0,0.0,0.0
